AAPL,MSI,SBUX
102.95,69.26,57.85000000000001
104.34,69.58,58.209999999999994
104.21,69.38,58.05
106.05,69.63,57.63000000000001
104.48,68.84,56.73
105.79,69.29,55.94
105.87,70.24,55.42
107.48,73.5,55.9
108.37,73.93,55.36
108.81,74.28,55.2
108.0,74.28,55.62
107.93,75.52,55.47
108.18,74.54,55.47
109.48,75.44,55.25
109.38,75.58,55.37
109.22,75.68,55.8
109.08,75.99,55.53
109.36,76.34,54.94
108.51,76.49,55.85
108.85,76.99,56.4
108.03,77.12,57.09
107.57,77.18,57.29
106.94,77.2,57.29
106.82,77.29,56.8
106.0,77.51,56.4
106.1,76.99,56.23
106.73,76.8,56.31
107.73,77.95,56.18
107.7,78.32,56.02
108.36,78.08,56.32
105.52,77.37,55.3
103.13,76.65,54.35
105.44,77.23,54.71
107.95,76.09,53.98
111.77,75.47,53.9
115.57,76.04,54.11
114.92000000000002,75.63,53.74
113.57999999999998,75.76,53.01
113.57,75.21,53.3
113.55,75.73,53.98
114.62,76.19,54.39
112.71,76.11,54.43
112.88,75.95,54.04
113.09,76.32,54.19
113.94999999999999,76.79,53.98
112.18,77.21,53.45
113.05,76.28,54.14
112.52,75.25,53.84
113.0,74.42,53.53
113.05,74.35,53.35
113.89,74.64,53.14
114.06000000000002,74.48,53.46
116.05,74.67,53.3
116.3,73.5,52.92
117.34000000000002,73.76,53.16
116.98,73.06,52.95
117.63,73.58,53.08
117.55,73.13,52.76
117.47000000000001,73.8,52.61
117.12,73.8,53.15
117.06,73.57,53.59
116.59999999999998,73.62,53.63
117.64999999999999,74.49,54.18
118.25000000000001,74.16,53.67
115.58999999999999,73.58,53.63
114.48,73.48,53.59
113.72000000000001,72.83,53.53
113.54000000000002,72.58,53.07
111.49,72.32,52.5
111.59,71.57,52.98
109.83,71.29,51.77
108.84,75.9,52.75
110.41,77.71,54.49
111.06,78.56,54.62
110.88,78.96,54.58
107.79,79.19,53.57
108.43,80.38,53.93
105.71,80.6,54.22
107.11,81.8,54.59
109.99,80.51,55.44
109.95,80.35,55.85
110.06,79.98,55.77
111.73,79.83,56.1
111.8,80.31,57.12
111.23,80.26,57.59000000000001
111.79,80.98,57.42999999999999
111.57,80.86,57.59000000000001
111.46,81.11,58.17
110.52,80.25,57.97
109.49,79.19,58.510000000000005
109.9,79.5,57.209999999999994
109.11,80.92,57.5
109.95,82.22,57.43999999999999
111.03,83.27,58.760000000000005
112.12,83.3,58.65
113.94999999999999,82.79,58.75
113.3,82.6,58.77
115.19,83.24,59.31000000000001
115.19,82.9,58.75
115.82000000000001,83.46,57.71
115.97,83.4,57.65999999999999
116.64,83.93,57.64999999999999
116.95000000000002,83.76,57.7
117.06,84.0,57.43999999999999
116.29,83.72,57.11
116.51999999999998,83.41,57.00999999999999
117.25999999999999,83.52,56.86000000000001
116.76,82.86,56.35
116.73,82.87,56.32
115.82000000000001,82.89,55.52
116.15,83.6,55.35
116.02,83.49,55.99
116.61000000000001,82.64,56.46
117.91000000000001,82.89,57.13
118.99,83.02,58.199999999999996
119.11000000000001,82.63,57.88
119.75,82.88,58.1
119.25,82.18,58.029999999999994
119.04,82.27,57.85000000000001
120.0,80.73,58.0
119.99000000000001,81.65,58.45000000000001
119.77999999999999,81.86,57.89
